Operator,Produk,Kode,Harga,Masa Berlaku (Hari),Kuota Utama (GB),Kuota Aplikasi (GB),Fair Usage Policy (GB)
AXIS,VOUCHER AIGO 1GB 30Hr,AIGO1,13.775,30.0,1.0,0.0,0.0
AXIS,VOUCHER AIGO 2GB 30Hr,AIGO2,23.375,30.0,2.0,0.0,0.0
AXIS,VOUCHER AIGO 3GB 30Hr,AIGO3,30.175,30.0,3.0,0.0,0.0
AXIS,VOUCHER AIGO 5GB 30Hr,AIGO5,43.975,30.0,5.0,0.0,0.0
AXIS,VOUCHER AIGO 8GB 30Hr,AIGO8,57.55,30.0,8.0,0.0,0.0
AXIS,VOUCHER AIGO 25GB 60Hr,AIGO25,87.975,60.0,25.0,0.0,0.0
AXIS,VOUCHER AIGO 50GB 60Hr,AIGO50,137.7,60.0,50.0,0.0,0.0
AXIS,VOUCHER AIGO MINI 1GB 5Hr,AIM1,9.475,5.0,1.0,0.0,0.0
AXIS,VOUCHER AIGO MINI 2GB 5Hr,AIM2,14.75,5.0,2.0,0.0,0.0
AXIS,VOUCHER AIGO MINI 3GB 15Hr,AIM3,21.125,15.0,3.0,0.0,0.0
AXIS,VOUCHER AIGO MINI 5GB 15Hr,AIM5,33.2,15.0,5.0,0.0,0.0
AXIS,BRONET 300MB 7Hr,AXD300,10.05,7.0,0.3,0.0,0.0
AXIS,BRONET 1GB 30Hr,AXD1,13.975,30.0,1.0,0.0,0.0
AXIS,BRONET 2GB 30Hr,AXD2,22.975,30.0,2.0,0.0,0.0
AXIS,BRONET 3GB 30Hr,AXD3,27.975,30.0,3.0,0.0,0.0
AXIS,BRONET 5GB 30Hr,AXD5,31.75,30.0,5.0,0.0,0.0
AXIS,BRONET 8GB 30Hr,AXD8,44.835,30.0,8.0,0.0,0.0
AXIS,VOUCHER OWSEM 1GB+1GB 4G 30Hr,AXO2,16.6,30.0,2.0,0.0,0.0
AXIS,VOUCHER OWSEM 1GB+3GB 4G 30Hr,AXO4,28.28,30.0,4.0,0.0,0.0
AXIS,VOUCHER OWSEM 2GB+6GB 4G 30Hr,AXO8,45.975,30.0,8.0,0.0,0.0
AXIS,VOUCHER OWSEM 3GB+9GB 4G 30Hr,AXO12,60.975,30.0,12.0,0.0,0.0
Indosat,PURE 500MB 30Hr,ID500,4.65,30.0,0.5,0.0,0.0
Indosat,PURE 1GB 30Hr,ID1,8.75,30.0,1.0,0.0,0.0
Indosat,PURE 2GB 30Hr,ID2,16.645,30.0,2.0,0.0,0.0
Indosat,PURE 3GB 30Hr,ID3,22.975,30.0,3.0,0.0,0.0
Indosat,PURE 4GB 30Hr,ID4,32.75,30.0,4.0,0.0,0.0
Indosat,PURE 5GB 30Hr,ID5,34.75,30.0,5.0,0.0,0.0
Indosat,PURE 6GB 30Hr,ID6,42.975,30.0,6.0,0.0,0.0
Indosat,PURE 8GB 30Hr,ID8,49.975,30.0,8.0,0.0,0.0
Indosat,PURE 7GB 30Hr,ID7,47.975,30.0,7.0,0.0,0.0
Indosat,PURE 9GB 30Hr,ID9,52.975,30.0,9.0,0.0,0.0
Indosat,PURE 10GB 30Hr,ID10,55.975,30.0,10.0,0.0,0.0
Indosat,1GB + 4.5GB Apps 30hr,IDN1,30.975,30.0,1.0,4.5,0.0
Indosat,2GB + 7.5GB Apps 30hr,IDN2,49.875,30.0,2.0,7.5,0.0
Indosat,"3GB + 15GB Apps, Youtube + SMS Sesama 30hr",IDN3,70.975,30.0,3.0,15.0,0.0
Indosat,"7GB + 20GB Apps, Youtube + SMS Sesama 30hr",IDN7,91.775,30.0,7.0,20.0,0.0
Indosat,"Unlimited Kuota + 38GB Apps, Youtube + SMS&Telp Sesama 30hr",IDN99,150.975,30.0,38.0,0.0,0.0
Indosat,Reg 15GB + Unlimited Apps + SMS&Telp Sesama 30hr,IDN15,154.95,30.0,15.0,0.0,0.0
Indosat,Voucher 1GB + 4.5GB Apps 30hr,VIDN1,29.8,30.0,1.0,4.5,0.0
Indosat,Voucher 2GB + 7.5GB Apps 30hr,VIDN2,48.71,30.0,2.0,7.5,0.0
Indosat,"Voucher 7GB + 20GB Apps, Youtube + SMS Sesama 30hr",VIDN7,90.325,30.0,7.0,20.0,0.0
Indosat,"Voucher Unlimited Kuota + 38GB Apps, Youtube + SMS&Telp Sesama 30hr",VIDN99,161.05,30.0,0.0,38.0,0.0
Indosat,Freedom 2GB 30Hr,IDF2,17.975,30.0,2.0,0.0,0.0
Indosat,Freedom 3GB 30Hr,IDF3,18.975,30.0,3.0,0.0,0.0
Indosat,Freedom 4GB 30Hr,IDF4,27.975,30.0,4.0,0.0,0.0
Indosat,Freedom 5.5GB 30Hr,IDF5,30.75,30.0,5.5,0.0,0.0
Indosat,Freedom 6.5GB 30Hr,IDF6,35.75,30.0,6.5,0.0,0.0
Indosat,Freedom 8GB 30Hr,IDF8,39.75,30.0,8.0,0.0,0.0
Indosat,Freedom 9GB 30Hr,IDF9,40.55,30.0,9.0,0.0,0.0
Indosat,Freedom 10GB 30Hr,IDF10,47.75,30.0,10.0,0.0,0.0
Indosat,Freedom 12GB 30Hr,IDF12,52.95,30.0,12.0,0.0,0.0
Indosat,Freedom 16GB 30Hr,IDF16,62.95,30.0,16.0,0.0,0.0
Indosat,Freedom 14GB 30Hr,IDF14,60.95,30.0,14.0,0.0,0.0
Indosat,Freedom 18GB 30Hr,IDF18,69.95,30.0,18.0,0.0,0.0
Indosat,Freedom 20GB 30Hr,IDF20,71.95,30.0,20.0,0.0,0.0
Indosat,Freedom 25GB 30Hr,IDF25,78.95,30.0,25.0,0.0,0.0
Indosat,Freedom 28GB 30Hr,IDF28,89.95,30.0,28.0,0.0,0.0
Indosat,Freedom 30GB 30Hr,IDF30,97.95,30.0,30.0,0.0,0.0
Indosat,Freedom 42GB 30Hr,IDF42,108.95,30.0,42.0,0.0,0.0
Indosat,Freedom 40GB 30Hr,IDF40,106.95,30.0,40.0,0.0,0.0
Indosat,Freedom 50GB 30Hr,IDF50,129.95,30.0,50.0,0.0,0.0
Indosat,Freedom 100GB 30Hr,IDF100,140.0,30.0,100.0,0.0,0.0
Indosat,Voucher Freedom 25GB 30Hr,VIDF5,94.975,30.0,25.0,0.0,0.0
Indosat,"Combo M, 2+3GB 4G, 30hr",IFC1,67.225,30.0,5.0,0.0,0.0
Indosat,"Combo L, 4+8GB 4G, 30hr",IFC3,103.0,30.0,12.0,0.0,0.0
Indosat,"Combo XL, 8+12GB 4G, 30hr",IFC5,153.975,30.0,20.0,0.0,0.0
Indosat,YELLOW 700MB 1hr,IDH1,4.495,1.0,0.7,0.0,0.0
Indosat,YELLOW 1GB 7hr,IDH7,10.575,7.0,1.0,0.0,0.0
Indosat,YELLOW 1GB 15hr,IDH15,13.375,15.0,1.0,0.0,0.0
Smartfren,NONSTOP 10HR (FUP 2GB),SMN2,10.05,10.0,0.0,0.0,2.0
Smartfren,NONSTOP 28HR (FUP 6GB),SMN6,32.85,28.0,0.0,0.0,6.0
Smartfren,NONSTOP 28HR (FUP 10GB),SMN10,45.65,28.0,0.0,0.0,10.0
Smartfren,NONSTOP 28HR (FUP 18GB),SMN18,69.95,28.0,0.0,0.0,18.0
Smartfren,NONSTOP 28HR (FUP 30GB),SMN30,70.975,28.0,0.0,0.0,30.0
Smartfren,VOUCHER NONSTOP 28HR (FUP 6GB),VSMN6,33.175,28.0,0.0,0.0,6.0
Smartfren,VOUCHER NONSTOP 28HR (FUP 10GB),VSMN10,47.935,28.0,0.0,0.0,10.0
Smartfren,VOUCHER NONSTOP 28HR (FUP 18GB),VSMN18,69.95,28.0,0.0,0.0,18.0
Smartfren,VOUCHER NONSTOP 28HR (FUP 30GB),VSMN30,70.975,28.0,0.0,0.0,30.0
Smartfren,UNLIMITED 4G 7HR (FUP 1GB/HR),SMU2,23.725,7.0,0.0,0.0,7.0
Smartfren,UNLIMITED 4G 14HR (FUP 1GB/HR),SMU3,42.5,14.0,0.0,0.0,14.0
Smartfren,UNLIMITED 4G 28HR (FUP 500MB/HR),SMU4,60.86,28.0,0.0,0.0,14.0
Smartfren,UNLIMITED 4G 28HR (FUP 1GB/HR),SMU5,77.975,28.0,0.0,0.0,28.0
Smartfren,UNLIMITED 4G 28HR (FUP 3GB/HR),SMU7,95.45,28.0,0.0,0.0,84.0
